ts_unix_ms,ts_dt_utc,symbol,n_trades_1s,sum_qty_1s,vwap_1s,buy_qty_1s,sell_qty_1s,buy_notional_1s,sell_notional_1s
1771365761446,2026-02-17 22:02:41.446000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365761446,2026-02-17 22:02:41.446000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365761446,2026-02-17 22:02:41.446000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365761446,2026-02-17 22:02:41.446000,XRPUSDT,1,101.2,1.4822,101.2,0.0,149.99864,0.0
1771365762456,2026-02-17 22:02:42.456000,BTCUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365762456,2026-02-17 22:02:42.456000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365762456,2026-02-17 22:02:42.456000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365762456,2026-02-17 22:02:42.456000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365762456,2026-02-17 22:02:42.456000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365763464,2026-02-17 22:02:43.464000,BTCUSDT,1,0.02,67601.3,0.0,0.02,0.0,1352.026
1771365763464,2026-02-17 22:02:43.464000,ETHUSDT,2,1.209,1997.5669148056243,0.4,0.809,799.0,1616.0584000000001
1771365763464,2026-02-17 22:02:43.464000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365763464,2026-02-17 22:02:43.464000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365763464,2026-02-17 22:02:43.464000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365764472,2026-02-17 22:02:44.472000,BTCUSDT,1,0.013,67601.3,0.013,0.0,878.8169,0.0
1771365764472,2026-02-17 22:02:44.472000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365764472,2026-02-17 22:02:44.472000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365764472,2026-02-17 22:02:44.472000,BNBUSDT,1,0.1,618.2,0.0,0.1,0.0,61.82000000000001
1771365764472,2026-02-17 22:02:44.472000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365765479,2026-02-17 22:02:45.479000,BTCUSDT,1,0.013,67601.3,0.013,0.0,878.8169,0.0
1771365765479,2026-02-17 22:02:45.479000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365765479,2026-02-17 22:02:45.479000,SOLUSDT,1,4.4,85.17,4.4,0.0,374.74800000000005,0.0
