timestamp,symbol,bar_ts_ms,close,vol1m,ret_bps,bid_px,ask_px,mid,spread_bps,mark_px,funding_rate,funding_bps,opening_loss_buy_bps,opening_loss_sell_bps,opening_loss_bps,rs_var_1m,rs_vol_10m_bps,avg_vol_10m,rs_vol_30m_bps,avg_vol_30m,rs_vol_60m_bps,avg_vol_60m
2026-02-22 20:57:59.999000+00:00,ETHUSDT,1771793879999,1939.8,13.213,,1939.8,1939.9,1939.85,0.515503776065863,1940.029702,3.6e-05,0.36,-0.6685567744979526,1.1841530054645943,1.1841530054645943,1.5942593953747758e-08,,,,,,
2026-02-22 20:58:59.999000+00:00,ETHUSDT,1771793939999,1939.8,17.25,0.0,1939.8,1939.9,1939.85,0.515503776065863,1939.976996,3.6e-05,0.36,-0.396891304168534,0.912444581915306,-0.396891304168534,2.657441432554196e-09,,,,,,
2026-02-22 20:59:59.999000+00:00,ETHUSDT,1771793999999,1940.1,25.248,1.5465511908452356,1940.1,1940.2,1940.15,0.5154240651503049,1939.769938,3.6e-05,0.36,2.2170773532215193,-1.7012628215040682,2.2170773532215193,1.435425365388613e-07,,,,,,
2026-02-22 21:00:59.999000+00:00,ETHUSDT,1771794059999,1940.9,38.349,4.123498788723978,1940.8,1940.9,1940.85,0.5152381688442509,1940.9,3.5e-05,0.35,0.0,0.5152514427053667,0.0,0.0,,,,,,
2026-02-22 21:01:59.999000+00:00,ETHUSDT,1771794119999,1940.9,9.374,0.0,1940.9,1941.0,1940.95,0.5152116231737502,1940.9,3.6e-05,0.36,0.5152248956674654,0.0,0.5152248956674654,2.6547037075123223e-09,,,,,,
2026-02-22 21:02:59.999000+00:00,ETHUSDT,1771794179999,1941.4,14.264,2.5761244783351067,1941.4,1941.5,1941.45,0.51507893584645,1941.522744,3.6e-05,0.36,-0.11714516386929219,0.6322447718143387,-0.11714516386929219,1.5920428808780586e-08,,,,,,
2026-02-22 21:03:59.999000+00:00,ETHUSDT,1771794239999,1941.3,31.032,-0.5150922015051407,1941.3,1941.4,1941.35,0.5151054678452439,1941.371457,3.6e-05,0.36,0.1470249286761316,0.3680883943757429,0.3680883943757429,4.776374716448759e-08,,,,,,
2026-02-22 21:04:59.999000+00:00,ETHUSDT,1771794299999,1941.3,29.985,0.0,1941.3,1941.4,1941.35,0.5151054678452439,1941.3,3.6e-05,0.36,0.5151187348695352,0.0,0.5151187348695352,4.246431927827795e-08,,,,,,
2026-02-22 21:05:59.999000+00:00,ETHUSDT,1771794359999,1941.3,23.076,0.0,1941.3,1941.4,1941.35,0.5151054678452439,1941.376372,3.6e-05,0.36,0.1217074666248763,0.39340648019470237,0.1217074666248763,7.957754743438212e-08,,,,,,
2026-02-22 21:06:59.999000+00:00,ETHUSDT,1771794419999,1941.3,16.119,0.0,1941.2,1941.3,1941.25,0.5151320025751915,1941.3,3.6e-05,0.36,0.0,0.5151452709650783,0.0,0.0,1.8722267980098026,21.791,,,,
2026-02-22 21:07:59.999000+00:00,ETHUSDT,1771794479999,1941.2,10.403,-0.515118734868425,1941.2,1941.3,1941.25,0.5151320025751915,1941.255733,3.6e-05,0.36,0.2280328101411655,0.2871059138676024,0.2871059138676024,0.0,1.8291547894173856,21.51,,,,
2026-02-22 21:08:59.999000+00:00,ETHUSDT,1771794539999,1941.5,10.08,1.545435812899676,1941.5,1941.6,1941.55,0.5150524065819013,1941.559566,3.6e-05,0.36,0.20825526400480854,0.3068040175113751,0.20825526400480854,0.0,1.8218761838618502,20.793,,,,
2026-02-22 21:09:59.999000+00:00,ETHUSDT,1771794599999,1940.9,12.152,-3.09039402523803,1940.9,1941.0,1940.95,0.5152116231737502,1941.13876,3.7e-05,0.37,-0.7148381293464734,1.2301509608936279,1.2301509608936279,0.0,1.3725186570441967,19.4834,,,,
2026-02-22 21:10:59.999000+00:00,ETHUSDT,1771794659999,1941.7,37.241,4.121799165335283,1941.7,1941.8,1941.75,0.5149993562503363,1941.7,3.6e-05,0.36,0.5150126178077308,0.0,0.5150126178077308,2.3875109023524797e-08,1.4569003240337528,19.3726,,,,
2026-02-22 21:11:59.999000+00:00,ETHUSDT,1771794719999,1941.7,4.714,0.0,1941.7,1941.8,1941.75,0.5149993562503363,1941.75945,3.7e-05,0.37,0.2088312226322664,0.3061750012878228,0.2088312226322664,0.0,1.4477608632279468,18.9066,,,,
